time,gFx,gFy,gFz,0
22:49:08:192,0.8299,0.0599,-0.3131,0.886
22:49:08:195,0.8604,0.0440,-0.3163,0.914
22:49:08:196,0.8929,0.0340,-0.3175,0.944
22:49:08:197,0.9122,0.0281,-0.3202,0.962
22:49:08:199,0.9308,0.0232,-0.3246,0.981
22:49:08:201,0.9479,0.0122,-0.3324,0.999
22:49:08:203,0.9601,0.0020,-0.3495,1.015
22:49:08:204,0.9723,0.0007,-0.3691,1.033
22:49:08:210,0.9912,0.0073,-0.3801,1.055
22:49:08:212,1.0134,0.0107,-0.3818,1.077
22:49:08:213,1.0166,0.0042,-0.3823,1.079
22:49:08:214,1.0148,-0.0034,-0.3828,1.078
22:49:08:216,1.0219,-0.0093,-0.3764,1.082
22:49:08:217,1.0337,-0.0161,-0.3684,1.090
22:49:08:219,1.0417,-0.0222,-0.3613,1.095
22:49:08:226,1.0488,-0.0259,-0.3517,1.099
22:49:08:228,1.0574,-0.0276,-0.3400,1.104
22:49:08:229,1.0662,-0.0271,-0.3295,1.109
22:49:08:230,1.0771,-0.0235,-0.3185,1.117
22:49:08:231,1.0806,-0.0222,-0.3092,1.118
22:49:08:232,1.0798,-0.0200,-0.3053,1.116
22:49:08:233,1.0803,-0.0178,-0.3048,1.116
22:49:08:235,1.0779,-0.0176,-0.3107,1.116
22:49:08:237,1.0762,-0.0281,-0.3229,1.117
22:49:08:239,1.0847,-0.0660,-0.3293,1.127
22:49:08:243,1.0605,-0.0897,-0.3461,1.109
22:49:08:245,1.0476,-0.0745,-0.3493,1.097
22:49:08:246,1.0610,-0.0506,-0.3276,1.104
22:49:08:247,1.0620,-0.0381,-0.3036,1.098
22:49:08:249,1.0471,-0.0357,-0.2894,1.080
22:49:08:251,1.0285,-0.0364,-0.2833,1.061
22:49:08:253,1.0053,-0.0403,-0.2802,1.037
22:49:08:254,0.9814,-0.0452,-0.2728,1.012
22:49:08:260,0.9653,-0.0493,-0.2596,0.993
22:49:08:261,0.9550,-0.0396,-0.2460,0.980
22:49:08:263,0.9391,-0.0257,-0.2311,0.962
22:49:08:264,0.9438,-0.0476,-0.2291,0.965
22:49:08:266,0.9337,-0.0777,-0.2604,0.963
22:49:08:268,0.9147,-0.0809,-0.3046,0.957
22:49:08:269,0.9144,-0.0699,-0.3215,0.962
22:49:08:270,0.9303,-0.0591,-0.3051,0.972
22:49:08:273,0.9557,-0.0447,-0.2787,0.989
22:49:08:276,0.9792,-0.0288,-0.2572,1.006
22:49:08:278,0.9953,-0.0156,-0.2406,1.019
22:49:08:280,1.0014,-0.0095,-0.2228,1.021
22:49:08:280,0.9938,-0.0071,-0.1976,1.009
22:49:08:283,0.9765,-0.0022,-0.1673,0.987
22:49:08:285,0.9574,0.0015,-0.1416,0.965
22:49:08:287,0.9482,0.0081,-0.1253,0.954
22:49:08:288,0.9513,0.0139,-0.1165,0.957
22:49:08:292,0.9955,0.0330,-0.0818,0.999
22:49:08:293,1.0908,0.0633,-0.0239,1.095
22:49:08:295,1.1805,0.0909,0.0218,1.188
22:49:08:297,1.2220,0.1094,0.0260,1.231
22:49:08:299,1.2347,0.1322,-0.0009,1.246
22:49:08:301,1.2445,0.1556,-0.0298,1.260
22:49:08:303,1.2320,0.1630,-0.0654,1.249
22:49:08:305,1.2005,0.1573,-0.1123,1.220
22:49:08:307,1.1771,0.1473,-0.1587,1.200
22:49:08:313,1.1680,0.1349,-0.1934,1.194
22:49:08:315,1.1812,0.1185,-0.2137,1.207
22:49:08:316,1.2115,0.0994,-0.2210,1.236
22:49:08:317,1.2399,0.0818,-0.2269,1.262
22:49:08:318,1.2516,0.0640,-0.2320,1.273
22:49:08:319,1.2655,0.0332,-0.2105,1.281
22:49:08:322,1.2760,0.0117,-0.1749,1.285
22:49:08:324,1.2447,0.0088,-0.1331,1.250
22:49:08:325,1.2147,0.0098,-0.0688,1.215
22:49:08:330,1.2208,0.0264,0.0132,1.222
22:49:08:331,1.2394,0.0525,0.0814,1.246
