time,gFx,gFy,gFz,0
18:23:49:061,0.9271,0.0398,0.1061,0.938
18:23:49:062,0.9411,0.0535,0.0746,0.949
18:23:49:064,0.9526,0.0704,0.0421,0.960
18:23:49:067,0.9604,0.0897,0.0113,0.969
18:23:49:068,0.9677,0.1102,-0.0168,0.979
18:23:49:070,0.9787,0.1300,-0.0432,0.994
18:23:49:072,0.9833,0.1495,-0.0627,1.002
18:23:49:075,0.9804,0.1695,-0.0808,1.005
18:23:49:077,0.9765,0.1874,-0.1043,1.007
18:23:49:078,0.9740,0.2013,-0.1294,1.010
18:23:49:080,0.9733,0.2140,-0.1534,1.016
18:23:49:082,0.9721,0.2250,-0.1758,1.021
18:23:49:084,0.9711,0.2333,-0.1971,1.025
18:23:49:086,0.9704,0.2392,-0.2176,1.030
18:23:49:088,0.9716,0.2421,-0.2355,1.036
18:23:49:092,0.9753,0.2426,-0.2494,1.042
18:23:49:093,0.9824,0.2399,-0.2616,1.051
18:23:49:094,0.9909,0.2353,-0.2711,1.060
18:23:49:096,0.9982,0.2294,-0.2765,1.066
18:23:49:098,1.0085,0.2228,-0.2787,1.075
18:23:49:100,1.0210,0.2177,-0.2789,1.085
18:23:49:102,1.0344,0.2135,-0.2767,1.096
18:23:49:104,1.0473,0.2086,-0.2728,1.107
18:23:49:109,1.0588,0.2033,-0.2679,1.115
18:23:49:110,1.0723,0.2011,-0.2643,1.127
18:23:49:110,1.0850,0.2011,-0.2589,1.137
18:23:49:112,1.0911,0.1964,-0.2482,1.140
18:23:49:115,1.0923,0.1864,-0.2357,1.137
18:23:49:117,1.0925,0.1735,-0.2218,1.132
18:23:49:118,1.0925,0.1605,-0.2059,1.126
18:23:49:120,1.0925,0.1476,-0.1895,1.122
18:23:49:122,1.0901,0.1339,-0.1727,1.114
18:23:49:125,1.0874,0.1266,-0.1649,1.110
18:23:49:127,1.0806,0.1104,-0.1502,1.099
18:23:49:128,1.0730,0.0945,-0.1353,1.087
18:23:49:130,1.0666,0.0811,-0.1182,1.077
18:23:49:132,1.0613,0.0679,-0.0986,1.069
18:23:49:136,1.0574,0.0528,-0.0745,1.062
18:23:49:137,1.0539,0.0391,-0.0459,1.056
18:23:49:138,1.0495,0.0257,-0.0161,1.050
18:23:49:150,1.0346,0.0081,0.0088,1.035
18:23:49:151,1.0163,-0.0117,0.0294,1.016
18:23:49:151,1.0119,-0.0232,0.0523,1.013
18:23:49:152,1.0148,-0.0298,0.0733,1.017
18:23:49:152,1.0117,-0.0391,0.0907,1.016
18:23:49:153,1.0029,-0.0493,0.0968,1.008
18:23:49:154,1.0085,-0.0493,0.1071,1.015
18:23:49:155,1.0210,-0.0467,0.1237,1.029
18:23:49:160,1.0290,-0.0481,0.1388,1.039
18:23:49:161,1.0048,-0.0718,0.1527,1.018
18:23:49:162,0.9921,-0.0945,0.1535,1.006
18:23:49:163,1.0136,-0.0901,0.1606,1.028
18:23:49:165,1.0405,-0.0748,0.1730,1.057
18:23:49:166,1.0549,-0.0628,0.1833,1.072
18:23:49:169,1.0618,-0.0555,0.1877,1.080
18:23:49:171,1.0664,-0.0493,0.1860,1.084
18:23:49:172,1.0676,-0.0445,0.1760,1.083
18:23:49:176,1.0681,-0.0423,0.1601,1.081
18:23:49:177,1.0676,-0.0388,0.1425,1.078
18:23:49:178,1.0640,-0.0335,0.1283,1.072
18:23:49:180,1.0527,-0.0274,0.1217,1.061
18:23:49:182,1.0373,-0.0200,0.1210,1.045
18:23:49:184,1.0212,-0.0093,0.1259,1.030
18:23:49:186,1.0087,0.0029,0.1374,1.020
18:23:49:188,0.9982,0.0142,0.1510,1.013
18:23:49:191,0.9902,0.0235,0.1625,1.007
18:23:49:193,0.9870,0.0247,0.1650,1.005
18:23:49:194,0.9804,0.0215,0.1674,0.999
18:23:49:196,0.9687,0.0169,0.1716,0.988
18:23:49:198,0.9472,0.0105,0.1723,0.966
18:23:49:200,0.9369,0.0147,0.1674,0.956
18:23:49:203,0.9467,0.0313,0.1571,0.964
18:23:49:204,0.9594,0.0474,0.1444,0.976
18:23:49:206,0.9687,0.0574,0.1364,0.985
18:23:49:209,0.9760,0.0640,0.1339,0.993
18:23:49:211,0.9831,0.0687,0.1330,1.000
18:23:49:212,0.9907,0.0750,0.1327,1.008
18:23:49:214,0.9990,0.0833,0.1327,1.017
18:23:49:216,1.0078,0.0958,0.1278,1.027
18:23:49:218,1.0134,0.1124,0.1193,1.034
18:23:49:220,1.0136,0.1283,0.1097,1.035
18:23:49:222,1.0114,0.1410,0.0992,1.034
18:23:49:227,1.0109,0.1539,0.0858,1.035
18:23:49:229,1.0065,0.1642,0.0729,1.031
18:23:49:230,1.0017,0.1693,0.0599,1.026
18:23:49:232,0.9985,0.1735,0.0462,1.023
18:23:49:233,1.0009,0.1825,0.0330,1.027
18:23:49:234,0.9955,0.1893,0.0247,1.023
18:23:49:236,0.9860,0.1825,0.0216,1.012
18:23:49:238,0.9936,0.1708,0.0181,1.017
18:23:49:240,1.0087,0.1649,0.0096,1.030
18:23:49:243,1.0224,0.1698,-0.0039,1.044
18:23:49:245,1.0361,0.1827,-0.0202,1.060
18:23:49:246,1.0385,0.1959,-0.0395,1.066
18:23:49:248,1.0295,0.2052,-0.0620,1.060
18:23:49:251,1.0170,0.2103,-0.0847,1.050
18:23:49:252,1.0070,0.2123,-0.1055,1.042
18:23:49:254,1.0019,0.2128,-0.1233,1.039
18:23:49:256,0.9985,0.2103,-0.1377,1.037
18:23:49:258,0.9963,0.2052,-0.1497,1.035
18:23:49:260,0.9953,0.1984,-0.1592,1.034
18:23:49:263,0.9933,0.1886,-0.1644,1.030
18:23:49:264,0.9914,0.1764,-0.1651,1.026
18:23:49:266,0.9914,0.1637,-0.1614,1.022
18:23:49:268,0.9916,0.1527,-0.1556,1.020
18:23:49:270,0.9926,0.1451,-0.1431,1.017
18:23:49:272,0.9970,0.1397,-0.1346,1.020
18:23:49:275,1.0087,0.1251,-0.1233,1.027
18:23:49:277,1.0144,0.1112,-0.1216,1.030
18:23:49:278,1.0234,0.0965,-0.1228,1.037
18:23:49:280,1.0234,0.0843,-0.1377,1.037
18:23:49:282,1.0156,0.0801,-0.1551,1.031
18:23:49:284,1.0090,0.0794,-0.1634,1.026
18:23:49:286,1.0053,0.0784,-0.1661,1.022
18:23:49:288,1.0031,0.0767,-0.1690,1.020
18:23:49:290,1.0002,0.0748,-0.1734,1.018
18:23:49:293,0.9951,0.0738,-0.1788,1.014
18:23:49:295,0.9860,0.0752,-0.1856,1.006
18:23:49:296,0.9816,0.0779,-0.1886,1.003
18:23:49:299,0.9897,0.0738,-0.1893,1.010
18:23:49:301,0.9938,0.0691,-0.2000,1.016
18:23:49:303,0.9902,0.0694,-0.2142,1.015
18:23:49:304,0.9848,0.0718,-0.2245,1.012
18:23:49:306,0.9806,0.0738,-0.2301,1.009
18:23:49:309,0.9770,0.0743,-0.2340,1.006
18:23:49:311,0.9731,0.0748,-0.2359,1.003
18:23:49:312,0.9697,0.0755,-0.2342,1.000
18:23:49:314,0.9682,0.0755,-0.2296,0.997
18:23:49:316,0.9677,0.0745,-0.2232,0.995
18:23:49:318,0.9662,0.0745,-0.2181,0.993
18:23:49:320,0.9653,0.0738,-0.2142,0.991
18:23:49:322,0.9648,0.0726,-0.2115,0.990
18:23:49:328,0.9631,0.0716,-0.2098,0.988
18:23:49:330,0.9582,0.0706,-0.2076,0.982
18:23:49:331,0.9572,0.0701,-0.2013,0.980
18:23:49:332,0.9589,0.0704,-0.1937,0.980
18:23:49:336,0.9562,0.0699,-0.1881,0.977
18:23:49:337,0.9526,0.0694,-0.1822,0.972
18:23:49:338,0.9545,0.0708,-0.1732,0.973
18:23:49:339,0.9621,0.0740,-0.1619,0.979
18:23:49:341,0.9697,0.0777,-0.1536,0.986
18:23:49:351,0.9755,0.0801,-0.1492,0.991
18:23:49:352,0.9740,0.0799,-0.1492,0.990
18:23:49:353,0.9723,0.0789,-0.1499,0.988
18:23:49:354,0.9692,0.0770,-0.1512,0.985
18:23:49:355,0.9679,0.0755,-0.1519,0.983
18:23:49:356,0.9694,0.0745,-0.1495,0.984
18:23:49:357,0.9753,0.0752,-0.1424,0.989
18:23:49:358,0.9816,0.0772,-0.1353,0.995
18:23:49:359,0.9877,0.0787,-0.1306,1.001
18:23:49:361,0.9919,0.0801,-0.1282,1.005
18:23:49:363,0.9946,0.0816,-0.1258,1.007
18:23:49:365,0.9973,0.0821,-0.1243,1.010
18:23:49:366,0.9992,0.0816,-0.1243,1.012
18:23:49:369,1.0004,0.0823,-0.1258,1.013
18:23:49:371,1.0009,0.0826,-0.1280,1.014
18:23:49:372,1.0021,0.0828,-0.1294,1.015
18:23:49:374,1.0041,0.0838,-0.1304,1.017
18:23:49:378,1.0053,0.0848,-0.1289,1.018
18:23:49:380,1.0078,0.0843,-0.1258,1.021
18:23:49:381,1.0124,0.0831,-0.1226,1.025
18:23:49:382,1.0178,0.0816,-0.1192,1.029
18:23:49:384,1.0212,0.0794,-0.1150,1.032
18:23:49:386,1.0234,0.0765,-0.1109,1.034
18:23:49:388,1.0241,0.0740,-0.1072,1.034
18:23:49:390,1.0234,0.0723,-0.1038,1.032
18:23:49:395,1.0212,0.0721,-0.1006,1.030
