time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.769245,0.0074,0.0158,0.1115,0.113
2.777579,-0.0078,0.0124,0.1380,0.139
2.785138,-0.0277,0.0118,0.1334,0.137
2.793190,-0.0382,0.0162,0.1121,0.119
2.801136,-0.0633,0.0283,0.0858,0.110
2.809338,-0.0651,0.0237,0.0691,0.098
2.819510,-0.0533,0.0316,0.0522,0.081
2.825076,-0.0495,0.0210,0.0592,0.080
2.837115,-0.0313,0.0206,0.1211,0.127
2.841173,0.0105,0.0280,0.1806,0.183
2.849687,0.0526,0.0571,0.2281,0.241
2.857088,0.0780,0.0718,0.3019,0.320
2.865031,0.0773,0.0554,0.3422,0.355
2.873160,0.0889,0.0385,0.3827,0.395
2.881172,0.0888,0.0306,0.3944,0.405
2.889112,0.0625,0.0267,0.3800,0.386
2.897414,0.0550,0.0295,0.3440,0.350
2.904759,0.0352,0.0461,0.3200,0.325
2.912856,0.0198,0.0554,0.3104,0.316
2.921134,-0.0054,0.0477,0.2984,0.302
2.929675,-0.0284,0.0304,0.2888,0.292
2.939949,-0.0394,0.0295,0.2576,0.262
2.944821,-0.0432,0.0334,0.2361,0.242
2.958802,-0.0705,0.0397,0.2218,0.236
2.961100,-0.0736,0.0266,0.2146,0.228
2.968677,-0.0862,0.0469,0.1764,0.202
2.976571,-0.0725,0.0549,0.1239,0.154
2.984867,-0.0756,0.0724,0.0642,0.123
2.992619,-0.0361,0.0591,0.0259,0.074
3.000544,-0.0089,0.0417,0.0259,0.050
3.008642,0.0063,0.0151,0.0833,0.085
3.016621,0.0002,-0.0038,0.1262,0.126
3.024602,0.0109,-0.0203,0.1093,0.112
3.040768,-0.0114,-0.0272,0.1380,0.141
3.043231,-0.0408,-0.0387,0.1858,0.194
3.062666,-0.0554,-0.0362,0.1738,0.186
3.064928,-0.0624,-0.0317,0.1666,0.181
3.066974,-0.0643,-0.0159,0.1189,0.136
3.072244,-0.0588,-0.0268,0.0760,0.100
3.083332,-0.0437,-0.0210,0.0211,0.053
3.088294,-0.0453,-0.0269,0.0165,0.055
3.096539,-0.0472,0.0040,0.0238,0.053
3.103952,-0.0443,-0.0076,0.0908,0.101
3.111979,-0.0347,-0.0162,0.1673,0.172
3.123568,-0.0232,-0.0460,0.2126,0.219
3.128107,0.0045,-0.0634,0.2554,0.263
3.143598,-0.0133,-0.0353,0.2791,0.282
3.145271,-0.0100,0.0045,0.2693,0.269
3.153226,-0.0070,0.0412,0.2523,0.256
