time,gFx,gFy,gFz,0
22:25:05:029,1.0857,0.0259,0.4972,1.203
22:25:05:031,1.0720,0.0064,0.5234,1.201
22:25:05:033,1.0593,-0.0086,0.5610,1.207
22:25:05:035,1.0473,-0.0191,0.5937,1.212
22:25:05:037,1.0344,-0.0254,0.6081,1.208
22:25:05:039,1.0156,-0.0325,0.6128,1.194
22:25:05:041,0.9855,-0.0374,0.6252,1.176
22:25:05:043,0.9411,-0.0379,0.6426,1.149
22:25:05:046,0.8927,-0.0357,0.6592,1.119
22:25:05:047,0.8536,-0.0335,0.6809,1.102
22:25:05:050,0.8297,-0.0315,0.7081,1.102
22:25:05:051,0.8204,-0.0342,0.7427,1.118
22:25:05:054,0.8214,-0.0452,0.7848,1.147
22:25:05:055,0.8272,-0.0638,0.8187,1.176
22:25:05:058,0.8360,-0.0880,0.8331,1.193
22:25:05:063,0.8419,-0.1160,0.8270,1.194
22:25:05:064,0.8353,-0.1441,0.7992,1.171
22:25:05:065,0.8153,-0.1676,0.7457,1.122
22:25:05:066,0.7837,-0.1835,0.6760,1.054
22:25:05:070,0.7405,-0.1884,0.6138,0.982
22:25:05:070,0.6924,-0.1827,0.5879,0.929
22:25:05:071,0.6523,-0.1705,0.5988,0.905
22:25:05:078,0.6345,-0.1561,0.6211,0.906
22:25:05:079,0.6420,-0.1424,0.6384,0.922
22:25:05:080,0.6709,-0.1317,0.6487,0.948
22:25:05:080,0.7114,-0.1239,0.6511,0.978
22:25:05:081,0.7542,-0.1187,0.6458,1.006
22:25:05:085,0.7947,-0.1158,0.6284,1.025
22:25:05:086,0.8319,-0.1178,0.6047,1.040
22:25:05:087,0.8631,-0.1236,0.5898,1.057
22:25:05:089,0.8771,-0.1322,0.5886,1.068
22:25:05:093,0.8710,-0.1385,0.5988,1.070
22:25:05:095,0.8521,-0.1407,0.6113,1.062
22:25:05:096,0.8199,-0.1373,0.6169,1.040
22:25:05:097,0.8084,-0.1349,0.6252,1.035
