time,gFx,gFy,gFz,0
18:11:13:324,0.6965,0.0288,0.6101,0.940
18:11:13:325,0.7241,0.0279,0.6015,0.955
18:11:13:328,0.7554,0.0286,0.6028,0.980
18:11:13:330,0.7876,0.0310,0.6079,1.008
18:11:13:332,0.8184,0.0374,0.6135,1.036
18:11:13:333,0.8487,0.0484,0.6079,1.058
18:11:13:336,0.8780,0.0586,0.5893,1.072
18:11:13:339,0.9059,0.0630,0.5666,1.083
18:11:13:345,0.9411,0.0606,0.5395,1.098
18:11:13:347,0.9860,0.0545,0.5016,1.118
18:11:13:349,1.0368,0.0474,0.4525,1.141
18:11:13:350,1.0842,0.0459,0.3922,1.162
18:11:13:351,1.1008,0.0511,0.3597,1.167
18:11:13:352,1.1087,0.0867,0.3093,1.162
18:11:13:353,1.1040,0.1268,0.3059,1.162
18:11:13:358,1.1172,0.1441,0.3218,1.182
18:11:13:359,1.1370,0.1551,0.3228,1.203
18:11:13:360,1.1492,0.1617,0.3245,1.216
18:11:13:361,1.1509,0.1600,0.3411,1.222
18:11:13:363,1.1473,0.1468,0.3636,1.223
18:11:13:364,1.1438,0.1222,0.3873,1.224
18:11:13:367,1.1419,0.0870,0.4083,1.225
18:11:13:368,1.1419,0.0447,0.4222,1.226
18:11:13:370,1.1468,-0.0017,0.4305,1.231
18:11:13:372,1.1570,-0.0489,0.4391,1.243
18:11:13:374,1.1673,-0.0899,0.4425,1.254
18:11:13:376,1.1732,-0.1180,0.4383,1.259
18:11:13:377,1.1727,-0.1319,0.4320,1.257
18:11:13:379,1.1668,-0.1366,0.4320,1.252
18:11:13:382,1.1495,-0.1371,0.4449,1.241
18:11:13:383,1.0908,-0.1244,0.5129,1.214
18:11:13:386,0.9758,-0.1119,0.7068,1.216
18:11:13:389,0.8199,-0.1087,1.0037,1.310
18:11:13:390,0.6997,-0.0987,1.1644,1.374
18:11:13:391,0.6750,-0.0635,1.0579,1.270
18:11:13:394,0.7246,-0.0117,0.8146,1.103
18:11:13:395,0.7986,0.0357,0.5827,1.002
18:11:13:398,0.8524,0.0721,0.4156,0.963
18:11:13:399,0.8702,0.1026,0.3103,0.941
18:11:13:402,0.8600,0.1302,0.2478,0.916
18:11:13:404,0.8294,0.1527,0.2141,0.883
18:11:13:406,0.7889,0.1695,0.1977,0.845
18:11:13:408,0.7476,0.1820,0.1911,0.808
18:11:13:409,0.7112,0.1908,0.1909,0.778
18:11:13:412,0.6858,0.1950,0.1953,0.757
18:11:13:414,0.6709,0.1935,0.1992,0.744
18:11:13:415,0.6687,0.1859,0.1987,0.740
18:11:13:418,0.6838,0.1700,0.1933,0.747
18:11:13:421,0.7175,0.1449,0.1801,0.768
18:11:13:423,0.7666,0.1090,0.1571,0.800
18:11:13:424,0.8240,0.0667,0.1283,0.843
18:11:13:426,0.8539,0.0454,0.1137,0.867
18:11:13:428,0.9139,0.0039,0.0846,0.920
18:11:13:430,0.9706,-0.0357,0.0594,0.972
18:11:13:431,1.0244,-0.0723,0.0379,1.024
18:11:13:434,1.0723,-0.1031,0.0162,1.072
18:11:13:436,1.1118,-0.1275,-0.0061,1.113
18:11:13:439,1.1443,-0.1473,-0.0293,1.147
18:11:13:440,1.1717,-0.1647,-0.0556,1.176
18:11:13:441,1.1920,-0.1791,-0.0837,1.199
18:11:13:443,1.2096,-0.1928,-0.1177,1.220
18:11:13:446,1.2293,-0.2052,-0.1600,1.246
18:11:13:447,1.2486,-0.2143,-0.2054,1.272
18:11:13:450,1.2611,-0.2162,-0.2489,1.291
18:11:13:451,1.2587,-0.2101,-0.2894,1.296
18:11:13:457,1.2362,-0.1945,-0.3254,1.280
18:11:13:459,1.1903,-0.1705,-0.3493,1.240
18:11:13:460,1.1243,-0.1402,-0.3620,1.178
18:11:13:461,1.0478,-0.1075,-0.3649,1.104
18:11:13:463,0.9753,-0.0748,-0.3603,1.032
18:11:13:464,0.9152,-0.0401,-0.3515,0.972
18:11:13:465,0.8714,0.0073,-0.3425,0.930
18:11:13:467,0.8477,0.0501,-0.3417,0.911
18:11:13:470,0.8392,0.0765,-0.3378,0.905
18:11:13:471,0.8419,0.0860,-0.3197,0.903
18:11:13:474,0.8568,0.0801,-0.2777,0.903
18:11:13:476,0.8773,0.0682,-0.2245,0.907
18:11:13:478,0.8998,0.0586,-0.1761,0.918
18:11:13:479,0.9237,0.0515,-0.1311,0.934
18:11:13:482,0.9472,0.0430,-0.0830,0.952
18:11:13:483,0.9687,0.0320,-0.0302,0.970
18:11:13:486,0.9855,0.0186,0.0240,0.987
18:11:13:487,0.9963,0.0056,0.0775,1.001
18:11:13:490,1.0012,-0.0054,0.1244,1.011
18:11:13:491,0.9997,-0.0147,0.1640,1.015
18:11:13:494,0.9924,-0.0203,0.1955,1.014
18:11:13:496,0.9794,-0.0244,0.2190,1.006
18:11:13:498,0.9635,-0.0279,0.2358,0.995
18:11:13:499,0.9484,-0.0325,0.2468,0.983
18:11:13:502,0.9362,-0.0366,0.2505,0.972
18:11:13:503,0.9262,-0.0401,0.2478,0.962
18:11:13:507,0.9220,-0.0420,0.2444,0.957
18:11:13:509,0.9154,-0.0464,0.2329,0.948
18:11:13:510,0.9074,-0.0501,0.2136,0.935
