time,gFx,gFy,gFz,0
17:18:25:439,-0.3753,0.7209,0.5063,1.005
17:18:25:441,-0.3757,0.7219,0.5060,1.006
17:18:25:442,-0.3770,0.7217,0.5058,1.006
17:18:25:443,-0.3789,0.7214,0.5048,1.006
17:18:25:445,-0.3799,0.7217,0.5041,1.006
17:18:25:447,-0.3806,0.7217,0.5038,1.006
17:18:25:449,-0.3809,0.7222,0.5038,1.007
17:18:25:451,-0.3816,0.7227,0.5036,1.007
17:18:25:453,-0.3826,0.7231,0.5036,1.008
17:18:25:455,-0.3833,0.7231,0.5041,1.008
17:18:25:457,-0.3843,0.7234,0.5058,1.010
17:18:25:459,-0.3850,0.7239,0.5067,1.011
17:18:25:461,-0.3833,0.7249,0.5065,1.011
17:18:25:463,-0.3821,0.7258,0.5070,1.012
17:18:25:465,-0.3809,0.7261,0.5085,1.012
17:18:25:467,-0.3794,0.7258,0.5087,1.011
17:18:25:470,-0.3784,0.7258,0.5087,1.011
17:18:25:508,-0.3772,0.7253,0.5099,1.011
17:18:25:509,-0.3765,0.7249,0.5109,1.011
17:18:25:511,-0.3772,0.7251,0.5119,1.012
17:18:25:512,-0.3775,0.7251,0.5129,1.012
17:18:25:513,-0.3779,0.7249,0.5141,1.013
17:18:25:514,-0.3784,0.7244,0.5151,1.013
17:18:25:514,-0.3779,0.7239,0.5148,1.013
17:18:25:515,-0.3775,0.7236,0.5136,1.012
17:18:25:516,-0.3772,0.7231,0.5131,1.011
17:18:25:518,-0.3767,0.7224,0.5133,1.010
17:18:25:519,-0.3753,0.7217,0.5136,1.009
17:18:25:520,-0.3743,0.7214,0.5138,1.009
17:18:25:522,-0.3731,0.7214,0.5136,1.008
17:18:25:523,-0.3721,0.7214,0.5129,1.008
17:18:25:524,-0.3718,0.7209,0.5126,1.007
17:18:25:525,-0.3706,0.7202,0.5124,1.006
17:18:25:527,-0.3696,0.7205,0.5121,1.006
17:18:25:528,-0.3689,0.7209,0.5129,1.006
17:18:25:529,-0.3691,0.7209,0.5141,1.007
17:18:25:530,-0.3684,0.7209,0.5141,1.006
17:18:25:531,-0.3682,0.7209,0.5133,1.006
17:18:25:532,-0.3672,0.7209,0.5131,1.006
