time,gFx,gFy,gFz,TgF
22:51:49:642,1.0129,0.2035,0.1427,1.055
22:51:49:644,1.0126,0.2145,0.1303,1.055
22:51:49:645,1.0036,0.2257,0.1100,1.047
22:51:49:653,0.9860,0.2387,0.0880,1.031
22:51:49:654,0.9589,0.2516,0.0711,1.007
22:51:49:656,0.9257,0.2629,0.0543,0.978
22:51:49:657,0.8907,0.2736,0.0365,0.947
22:51:49:657,0.8592,0.2839,0.0235,0.921
22:51:49:658,0.8331,0.2937,0.0191,0.900
22:51:49:659,0.8133,0.3027,0.0223,0.885
22:51:49:661,0.7974,0.3098,0.0284,0.874
22:51:49:664,0.7862,0.3152,0.0345,0.866
22:51:49:667,0.7766,0.3213,0.0396,0.861
22:51:49:668,0.7674,0.3315,0.0421,0.857
22:51:49:669,0.7573,0.3440,0.0379,0.854
22:51:49:672,0.7432,0.3579,0.0303,0.847
22:51:49:673,0.7236,0.3748,0.0223,0.838
22:51:49:675,0.7031,0.3933,0.0172,0.830
22:51:49:677,0.6916,0.4119,0.0125,0.830
22:51:49:680,0.6907,0.4283,0.0076,0.838
22:51:49:682,0.6963,0.4402,0.0001,0.850
22:51:49:683,0.7034,0.4495,-0.0097,0.861
22:51:49:686,0.7161,0.4544,-0.0190,0.874
22:51:49:687,0.7412,0.4556,-0.0278,0.895
22:51:49:689,0.7718,0.4534,-0.0376,0.920
22:51:49:693,0.8021,0.4439,-0.0456,0.940
22:51:49:694,0.8333,0.4312,-0.0481,0.961
22:51:49:695,0.8658,0.4185,-0.0439,0.983
22:51:49:698,0.9003,0.4058,-0.0366,1.007
22:51:49:699,0.9354,0.3928,-0.0298,1.033
22:51:49:701,0.9677,0.3777,-0.0249,1.056
22:51:49:703,0.9912,0.3550,-0.0202,1.069
22:51:49:705,1.0075,0.3293,-0.0224,1.075
22:51:49:707,1.0139,0.3032,-0.0256,1.072
22:51:49:709,1.0205,0.2802,-0.0337,1.071
22:51:49:711,1.0263,0.2629,-0.0398,1.071
22:51:49:714,1.0246,0.2475,-0.0327,1.065
22:51:49:716,1.0217,0.2333,-0.0188,1.058
22:51:49:717,1.0180,0.2209,0.0001,1.052
22:51:49:720,1.0092,0.2096,0.0203,1.041
22:51:49:721,0.9955,0.1976,0.0418,1.026
22:51:49:723,0.9743,0.1774,0.0694,1.002
22:51:49:726,0.9293,0.1368,0.1163,0.956
22:51:49:727,0.9161,0.1058,0.1398,0.941
22:51:49:730,0.9440,0.0958,0.1413,0.967
22:51:49:732,0.9770,0.0897,0.1420,0.998
22:51:49:733,1.0009,0.0774,0.1498,1.021
22:51:49:735,1.0178,0.0633,0.1581,1.037
22:51:49:737,1.0295,0.0506,0.1652,1.049
